pfaf_id,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score
111011,1894.93587145783,EGY,Egypt,As Suways,4.180674079,0.0
111012,2932.5062546635604,EGY,Egypt,As Suways,0.0,0.0
111013,895.1217610337001,EGY,Egypt,As Suways,4.008111796000001,0.0
111014,4226.775708145069,EGY,Egypt,Al Bahr al Ahmar,0.0,0.0
111015,16672.3233315868,EGY,Egypt,Al Bahr al Ahmar,4.159506062,1.3329587520000001
111016,1836.6324495606902,EGY,Egypt,Al Bahr al Ahmar,4.105107295,0.0
111017,8665.540548479,EGY,Egypt,Al Bahr al Ahmar,4.0079583439999995,0.0
111018,1960.0743598741099,EGY,Egypt,Al Bahr al Ahmar,0.0,0.0
111019,6579.747717507199,EGY,Egypt,Al Bahr al Ahmar,4.101170927,0.0
111020,11704.618891092858,EGY,Egypt,Al Bahr al Ahmar,4.051834921,0.0
111030,5536.333886482471,SDN,Sudan,Red Sea,4.025144707,4.001214603
111041,13759.44856686316,SDN,Sudan,Red Sea,4.004020509,0.0
111042,5329.48048238,SDN,Sudan,Red Sea,2.29544678,0.0
111043,278.648223097,SDN,Sudan,Red Sea,4.0991539239999994,0.0
111044,5305.34694458,SDN,Sudan,Red Sea,4.005930499,0.0
111045,6114.95996752,SDN,Sudan,Red Sea,4.041950591,0.0
111046,3730.99637815,SDN,Sudan,Red Sea,4.030695821,0.0
111047,729.421443143,SDN,Sudan,Red Sea,4.088175347,0.0
111048,3616.21753415,SDN,Sudan,Red Sea,3.506727302,0.0
111049,3631.0213374,SDN,Sudan,Red Sea,3.92888231,0.0
111050,16232.236187934499,SDN,Sudan,Red Sea,4.193406948,3.1393937239999996
111060,4594.232147255299,SDN,Sudan,Red Sea,2.145063189,0.0
111070,11245.656710641899,SDN,Sudan,Red Sea,4.348485206,0.088554359
111081,4281.20265159335,SDN,Sudan,Red Sea,4.262812093,0.0
111082,15398.395764724402,SDN,Sudan,Red Sea,4.013730467,0.0
111083,5038.98630777421,ERI,Eritrea,Semenawi Keyih Bahri,3.9975610219999997,0.0
111084,12535.479375567898,ERI,Eritrea,Semenawi Keyih Bahri,1.0956320609999999,0.0
111085,8347.458483545,ERI,Eritrea,Semenawi Keyih Bahri,3.640363903,0.0
111086,2099.662116308,ERI,Eritrea,Gash Barka,3.264032827,0.0
111087,11482.82070806,ERI,Eritrea,Gash Barka,2.8455037080000003,0.0
111088,2588.95779126136,ERI,Eritrea,Gash Barka,1.337380741,0.0
111089,2357.27524503984,ERI,Eritrea,Gash Barka,1.0305885209999999,0.0
111090,426.816198809,ERI,Eritrea,Debub,4.992908817,0.0
111091,173.03602063528,SDN,Sudan,Red Sea,3.554465127,0.0
111092,2414.4409892453905,SDN,Sudan,Red Sea,4.066197713,0.0
111093,16458.1291201089,ERI,Eritrea,Debub,4.012092701,1.945103522
111094,2050.90501354967,ERI,Eritrea,Debub,3.473138516,0.0
111095,1492.77497015737,ERI,Eritrea,Debub,4.324446634,0.0
111096,2241.3840056315403,ERI,Eritrea,Debub,2.36670408,0.0
111097,2233.0265301058803,ERI,Eritrea,Debub,4.44006278,1.039155317
111098,2868.9508285882293,ERI,Eritrea,Debub,4.011053607,0.0
111099,4886.112422780201,ERI,Eritrea,Debub,4.208870807,2.316126771
112011,2643.1341797249997,SOM,Somalia,Mudug,4.107995242,0.0
112012,18090.090339358998,SOM,Somalia,Mudug,3.3100617839999997,0.0
112013,13304.404156658928,SOM,Somalia,Mudug,4.046860032,0.0
112014,29518.225902749997,SOM,Somalia,Galguduud,3.551519403,0.0
112015,3990.210938437,SOM,Somalia,Mudug,3.959224833,0.0
112016,10212.441781965,ETH,Ethiopia,Somali,4.041264248,0.0
112017,11505.213989800997,ETH,Ethiopia,Somali,3.287433935,0.0
112018,12631.403042323198,ETH,Ethiopia,Somali,4.030469588,0.0
112019,39204.1910168343,SOM,Somalia,Togdheer,3.3962404239999997,0.0
112020,1617.96051957,SOM,Somalia,Togdheer,0.0,0.0
112030,1996.64276533,SOM,Somalia,Nugaal,0.0,0.0
112041,3557.377038699199,SOM,Somalia,Shabeellaha Dhexe,2.593612744,0.0
112042,8250.95696812,SOM,Somalia,Hiiraan,4.0009670669999995,0.0
112043,949.457318533,SOM,Somalia,Galguduud,4.0118288710000005,0.0
112044,4779.64545317,SOM,Somalia,Hiiraan,2.026545171,0.0
112045,2201.72298106,SOM,Somalia,Galguduud,3.918212177,0.0
112046,15676.4031468,ETH,Ethiopia,Somali,4.015805138999999,0.0
112047,19434.28487983,ETH,Ethiopia,Somali,3.9404159919999997,0.0
112048,5339.097993690001,ETH,Ethiopia,Somali,3.3511319310000003,0.0
112049,14536.034843,ETH,Ethiopia,Somali,2.540253847,0.0
112050,6904.748642065,SOM,Somalia,Galguduud,4.136749986,0.0
112060,7776.631879746999,SOM,Somalia,Galguduud,3.172453313,0.0
112070,1955.4845848986,SOM,Somalia,Shabeellaha Dhexe,0.0,0.0
112111,32877.02540601246,ERI,Eritrea,Debubawi Keyih Bahri,4.090526924,0.181811865
112112,4081.0067908143596,SOM,Somalia,Awdal,3.3497017739999997,0.0
112113,6074.69636631711,SOM,Somalia,Awdal,4.477025156,0.0
112114,3904.36440998547,SOM,Somalia,Awdal,3.363961259,0.0
112115,1122.08426471083,SOM,Somalia,Awdal,4.463578082,0.0
112116,3885.2834790973097,SOM,Somalia,Woqooyi Galbeed,3.040780714,0.0
112117,1713.6995991088,SOM,Somalia,Woqooyi Galbeed,4.52345317,0.0
112118,3759.03088592957,SOM,Somalia,Woqooyi Galbeed,0.42265901,0.0
112119,5705.6863549578,SOM,Somalia,Woqooyi Galbeed,4.761150524,0.0
112120,5351.821993920041,SOM,Somalia,Woqooyi Galbeed,0.589338143,0.0
112130,3034.82134963973,SOM,Somalia,Woqooyi Galbeed,4.0801611719999995,2.040641962
112140,4808.19171598073,SOM,Somalia,Sanaag,2.246879658,0.0
112150,478.06565723198,SOM,Somalia,Sanaag,4.267088308,0.0
112160,4179.11641203252,SOM,Somalia,Sanaag,3.307508211,0.0
112170,14395.821269445598,SOM,Somalia,Sanaag,4.6418247,0.0
112180,4791.843733432711,SOM,Somalia,Bari,2.005824216,0.0
112190,11126.1058640007,SOM,Somalia,Bari,4.089817898,4.008119526000001
112200,28684.631817792564,SOM,Somalia,Bari,2.704532125,0.0
112300,7051.4466384789,SOM,Somalia,Bari,2.512352823,3.6213140239999997
112400,26136.12593998467,SOM,Somalia,Sanaag,3.0903438,0.0
112500,710.1397269575202,SOM,Somalia,Bari,4.064781357,0.0
112600,6531.7032436746995,SOM,Somalia,Bari,1.962622017,0.0
112700,7816.8268274785705,SOM,Somalia,Bari,4.051263391,2.7669721810000003
112801,5754.809128690072,SOM,Somalia,Nugaal,4.049267674,0.0
