pfaf_id,ISO,Admin0,Admin1,rfr_score,cfr_score
122322,ZWE,Zimbabwe,Manicaland,2.265050018,0
122324,ZWE,Zimbabwe,Mashonaland East,2.429792611,0
122329,ZWE,Zimbabwe,Mashonaland Central,2.676743019,0
122376,ZWE,Zimbabwe,Mashonaland Central,3.116241569,0
122380,ZWE,Zimbabwe,Mashonaland West,1.365925409,0
122721,ZWE,Zimbabwe,Mashonaland West,0,0
122722,ZWE,Zimbabwe,Mashonaland West,4.063826287,0
122723,ZWE,Zimbabwe,Mashonaland West,2.690861262,0
122724,ZWE,Zimbabwe,Mashonaland West,1.843915398,0
122725,ZWE,Zimbabwe,Midlands,1.965726583,0
122726,ZWE,Zimbabwe,Mashonaland West,0.444768347,0
122727,ZWE,Zimbabwe,Midlands,2.117694084,0
122728,ZWE,Zimbabwe,Mashonaland East,2.501833441,0
122729,ZWE,Zimbabwe,Midlands,1.231052892,0
122740,ZWE,Zimbabwe,Midlands,1.571612567,0
122760,ZWE,Zimbabwe,Midlands,3.661711867,0
122781,ZWE,Zimbabwe,Matabeleland North,4.047073496,0
122782,ZWE,Zimbabwe,Matabeleland North,4.001866522,0
122783,ZWE,Zimbabwe,Matabeleland North,1.597056303,0
122784,ZWE,Zimbabwe,Matabeleland North,1.522013417,0
122785,ZWE,Zimbabwe,Matabeleland North,1.312182439,0
122786,ZWE,Zimbabwe,Matabeleland North,0.023376947,0
122787,ZWE,Zimbabwe,Matabeleland North,3.034449283,0
122788,ZWE,Zimbabwe,Midlands,2.08759972,0
122789,ZWE,Zimbabwe,Midlands,0.039506554,0
123062,ZWE,Zimbabwe,Manicaland,3.011531097,0
123063,ZWE,Zimbabwe,Masvingo,3.357293652,0
123064,ZWE,Zimbabwe,Masvingo,1.535549392,0
123065,ZWE,Zimbabwe,Masvingo,4.00573407,0
123066,ZWE,Zimbabwe,Masvingo,2.518660845,0
123067,ZWE,Zimbabwe,Masvingo,2.933324278,0
123068,ZWE,Zimbabwe,Midlands,3.571370421,0
123069,ZWE,Zimbabwe,Midlands,2.262446951,0
124502,ZWE,Zimbabwe,Masvingo,3.130114292,0
124504,ZWE,Zimbabwe,Matabeleland South,3.227672279,0
124507,ZWE,Zimbabwe,Matabeleland South,3.694749409,0
124508,ZWE,Zimbabwe,Matabeleland South,3.121783598,0
124600,ZWE,Zimbabwe,Matabeleland South,1.372698472,0
122410,ZMB,Zambia,Lusaka,3.536991366,0
122421,ZMB,Zambia,Eastern,4.020049736,0
122422,ZMB,Zambia,Central,3.42248915,0
122423,ZMB,Zambia,Lusaka,4.001659084,0
122424,ZMB,Zambia,Central,1.085360731,0
122425,ZMB,Zambia,Central,4.012475835,0
122426,ZMB,Zambia,Central,2.808139144,0
122427,ZMB,Zambia,Central,1.815557513,0
122428,ZMB,Zambia,Central,3.056363702,0
122429,ZMB,Zambia,Central,0.040013852,0
122430,ZMB,Zambia,Eastern,2.188582549,0
122440,ZMB,Zambia,Eastern,1.226388121,0
122450,ZMB,Zambia,Eastern,2.535638968,0
122460,ZMB,Zambia,Muchinga,1.74081111,0
122470,ZMB,Zambia,Muchinga,2.032126395,0
122480,ZMB,Zambia,Eastern,3.564686883,0
122491,ZMB,Zambia,Muchinga,2.084396715,0
122492,ZMB,Zambia,Muchinga,2.05384066,0
122493,ZMB,Zambia,Muchinga,2.272818053,0
122494,ZMB,Zambia,Muchinga,1.519487773,0
122495,ZMB,Zambia,Muchinga,1.209461172,0
122496,ZMB,Zambia,Muchinga,2.043723691,0
122497,ZMB,Zambia,Muchinga,2.491301266,0
122498,ZMB,Zambia,Muchinga,2.210467543,0
122499,ZMB,Zambia,Muchinga,1.552245038,0
122500,ZMB,Zambia,Lusaka,0.763657552,0
122611,ZMB,Zambia,Southern,2.109112131,0
122612,ZMB,Zambia,Central,0.934772119,0
122613,ZMB,Zambia,Southern,4.387730942,0
122614,ZMB,Zambia,Central,1.325391929,0
122615,ZMB,Zambia,Southern,2.178357493,0
122616,ZMB,Zambia,Southern,1.681477148,0
122617,ZMB,Zambia,Southern,2.524165656,0
122618,ZMB,Zambia,Southern,2.185893047,0
122619,ZMB,Zambia,Southern,3.176310582,0
122620,ZMB,Zambia,North-Western,2.726697005,0
122630,ZMB,Zambia,Central,2.84139278,0
122640,ZMB,Zambia,North-Western,1.977180961,0
122650,ZMB,Zambia,Central,2.397137739,0
122660,ZMB,Zambia,Central,1.885734933,0
122670,ZMB,Zambia,Central,4.048938607,0
122680,ZMB,Zambia,Copperbelt,3.074560151,0
122690,ZMB,Zambia,Copperbelt,0.680790842,0
122710,ZMB,Zambia,Southern,4.005031637,0
122730,ZMB,Zambia,Southern,4.033538262,0
122750,ZMB,Zambia,Southern,4.025244478,0
122770,ZMB,Zambia,Southern,4.0111019,0
122790,ZMB,Zambia,Southern,0.632724963,0
