FID,pfaf_id,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score
0,111011,1894.935871,EGY,Egypt,As Suways,4.180674079,0
1,111012,2932.506255,EGY,Egypt,As Suways,0,0
2,111013,895.121761,EGY,Egypt,As Suways,4.008111796,0
3,111014,4226.775708,EGY,Egypt,Al Bahr al Ahmar,0,0
4,111015,16672.32333,EGY,Egypt,Al Bahr al Ahmar,4.159506062,1.332958752
5,111016,1836.63245,EGY,Egypt,Al Bahr al Ahmar,4.105107295,0
6,111017,8665.540548,EGY,Egypt,Al Bahr al Ahmar,4.007958344,0
7,111018,1960.07436,EGY,Egypt,Al Bahr al Ahmar,0,0
8,111019,6579.747718,EGY,Egypt,Al Bahr al Ahmar,4.101170927,0
9,111020,11704.61889,EGY,Egypt,Al Bahr al Ahmar,4.051834921,0
10,111030,5536.333886,SDN,Sudan,Red Sea,4.025144707,4.001214603
11,111041,13759.44857,SDN,Sudan,Red Sea,4.004020509,0
12,111042,5329.480482,SDN,Sudan,Red Sea,2.29544678,0
13,111043,278.6482231,SDN,Sudan,Red Sea,4.099153924,0
14,111044,5305.346945,SDN,Sudan,Red Sea,4.005930499,0
15,111045,6114.959968,SDN,Sudan,Red Sea,4.041950591,0
16,111046,3730.996378,SDN,Sudan,Red Sea,4.030695821,0
17,111047,729.4214431,SDN,Sudan,Red Sea,4.088175347,0
18,111048,3616.217534,SDN,Sudan,Red Sea,3.506727302,0
19,111049,3631.021337,SDN,Sudan,Red Sea,3.92888231,0
20,111050,16232.23619,SDN,Sudan,Red Sea,4.193406948,3.139393724
21,111060,4594.232147,SDN,Sudan,Red Sea,2.145063189,0
22,111070,11245.65671,SDN,Sudan,Red Sea,4.348485206,0.088554359
23,111081,4281.202652,SDN,Sudan,Red Sea,4.262812093,0
24,111082,15398.39576,SDN,Sudan,Red Sea,4.013730467,0
25,111083,5038.986308,SDN,Sudan,Red Sea,3.997561022,0
26,111084,12535.47938,ERI,Eritrea,Semenawi Keyih Bahri,1.095632061,0
27,111085,8347.458484,ERI,Eritrea,Semenawi Keyih Bahri,3.640363903,0
28,111086,2099.662116,ERI,Eritrea,Gash Barka,3.264032827,0
29,111087,11482.82071,ERI,Eritrea,Gash Barka,2.845503708,0
30,111088,2588.957791,ERI,Eritrea,Gash Barka,1.337380741,0
31,111089,2357.275245,ERI,Eritrea,Gash Barka,1.030588521,0
32,111090,426.8161988,ERI,Eritrea,Debub,4.992908817,0
33,111091,173.0360206,SDN,Sudan,Red Sea,3.554465127,0
34,111092,2414.440989,SDN,Sudan,Red Sea,4.066197713,0
35,111093,16458.12912,ERI,Eritrea,Debub,4.012092701,1.945103522
36,111094,2050.905014,ERI,Eritrea,Debub,3.473138516,0
37,111095,1492.77497,ERI,Eritrea,Debub,4.324446634,0
38,111096,2241.384006,ERI,Eritrea,Debub,2.36670408,0
39,111097,2233.02653,ERI,Eritrea,Debub,4.44006278,1.039155317
40,111098,2868.950829,ERI,Eritrea,Debub,4.011053607,0
41,111099,4886.112423,ERI,Eritrea,Debub,4.208870807,2.316126771
42,112011,2643.13418,SOM,Somalia,Mudug,4.107995242,0
43,112012,18090.09034,SOM,Somalia,Mudug,3.310061784,0
44,112013,13304.40416,SOM,Somalia,Mudug,4.046860032,0
45,112014,29518.2259,SOM,Somalia,Galguduud,3.551519403,0
46,112015,3990.210938,SOM,Somalia,Mudug,3.959224833,0
47,112016,10212.44178,ETH,Ethiopia,Somali,4.041264248,0
48,112017,11505.21399,ETH,Ethiopia,Somali,3.287433935,0
49,112018,12631.40304,ETH,Ethiopia,Somali,4.030469588,0
50,112019,39204.19102,SOM,Somalia,Togdheer,3.396240424,0
51,112020,1617.96052,SOM,Somalia,Togdheer,0,0
52,112030,1996.642765,SOM,Somalia,Nugaal,0,0
53,112041,3557.377039,SOM,Somalia,Shabeellaha Dhexe,2.593612744,0
54,112042,8250.956968,SOM,Somalia,Hiiraan,4.000967067,0
55,112043,949.4573185,SOM,Somalia,Galguduud,4.011828871,0
56,112044,4779.645453,SOM,Somalia,Galguduud,2.026545171,0
57,112045,2201.722981,SOM,Somalia,Galguduud,3.918212177,0
58,112046,15676.40315,ETH,Ethiopia,Somali,4.015805139,0
59,112047,19434.28488,ETH,Ethiopia,Somali,3.940415992,0
60,112048,5339.097994,ETH,Ethiopia,Somali,3.351131931,0
61,112049,14536.03484,ETH,Ethiopia,Somali,2.540253847,0
62,112050,6904.748642,SOM,Somalia,Galguduud,4.136749986,0
63,112060,7776.63188,SOM,Somalia,Galguduud,3.172453313,0
64,112070,1955.484585,SOM,Somalia,Shabeellaha Dhexe,0,0
65,112111,32877.02541,ERI,Eritrea,Debubawi Keyih Bahri,4.090526924,0.181811865
66,112112,4081.006791,SOM,Somalia,Awdal,3.349701774,0
67,112113,6074.696366,SOM,Somalia,Awdal,4.477025156,0
68,112114,3904.36441,SOM,Somalia,Awdal,3.363961259,0
69,112115,1122.084265,SOM,Somalia,Awdal,4.463578082,0
70,112116,3885.283479,SOM,Somalia,Woqooyi Galbeed,3.040780714,0
71,112117,1713.699599,SOM,Somalia,Woqooyi Galbeed,4.52345317,0
72,112118,3759.030886,SOM,Somalia,Woqooyi Galbeed,0.42265901,0
73,112119,5705.686355,SOM,Somalia,Woqooyi Galbeed,4.761150524,0
74,112120,5351.821994,SOM,Somalia,Woqooyi Galbeed,0.589338143,0
75,112130,3034.82135,SOM,Somalia,Woqooyi Galbeed,4.080161172,2.040641962
76,112140,4808.191716,SOM,Somalia,Sanaag,2.246879658,0
77,112150,478.0656572,SOM,Somalia,Sanaag,4.267088308,0
78,112160,4179.116412,SOM,Somalia,Sanaag,3.307508211,0
79,112170,14395.82127,SOM,Somalia,Sanaag,4.6418247,0
80,112180,4791.843733,SOM,Somalia,Bari,2.005824216,0
81,112190,11126.10586,SOM,Somalia,Bari,4.089817898,4.008119526
82,112200,28684.63182,SOM,Somalia,Bari,2.704532125,0
83,112300,7051.446638,SOM,Somalia,Bari,2.512352823,3.621314024
84,112400,26136.12594,SOM,Somalia,Sanaag,3.0903438,0
85,112500,710.139727,SOM,Somalia,Bari,4.064781357,0
86,112600,6531.703244,SOM,Somalia,Bari,1.962622017,0
87,112700,7816.826827,SOM,Somalia,Bari,4.051263391,2.766972181
88,112801,5754.809129,SOM,Somalia,Nugaal,4.049267674,0
89,112802,6074.971289,SOM,Somalia,Nugaal,3.026424984,0
90,112803,14679.79554,SOM,Somalia,Sool,2.090896891,0
91,112804,7782.784061,SOM,Somalia,Sanaag,1.52209785,0
92,112805,4718.243605,SOM,Somalia,Sool,0.182980844,0
93,112806,5547.919903,SOM,Somalia,Sool,3.057101488,0
94,112807,8192.367128,SOM,Somalia,Sanaag,3.126659142,0
95,112808,2958.475236,SOM,Somalia,Sool,0.800049048,0
96,112809,9132.068766,SOM,Somalia,Togdheer,4.355937949,0
97,112901,23.91926071,SOM,Somalia,Nugaal,0,0
98,112902,2743.575077,SOM,Somalia,Nugaal,0,0
99,112903,990.5369926,SOM,Somalia,Nugaal,2.180346131,0
100,112904,2519.656242,SOM,Somalia,Nugaal,1.707315489,0
101,112905,31.45104872,SOM,Somalia,Mudug,4.35465701,0
102,112906,2060.633942,SOM,Somalia,Mudug,3.951375215,0
103,112907,661.8558752,SOM,Somalia,Mudug,4.226238895,0
104,112908,4440.592207,SOM,Somalia,Mudug,3.292585739,0
105,112909,17562.28073,SOM,Somalia,Galguduud,4.512670134,1.856002546
106,113000,3943.558329,YEM,Yemen,Hadramawt,4.101064827,0
107,114001,47029.38954,KEN,Kenya,Marsabit,3.129092186,0
108,114002,2054.783054,KEN,Kenya,Marsabit,4.000120553,0
109,114100,1429.38731,SOM,Somalia,Jubbada Hoose,4.204872371,0
110,114210,14466.64421,SOM,Somalia,Jubbada Hoose,4.018572043,0
111,114221,2070.429971,SOM,Somalia,Jubbada Hoose,4.162114689,0
112,114222,5014.88015,SOM,Somalia,Jubbada Dhexe,3.788853824,0
113,114223,152.1678166,SOM,Somalia,Jubbada Hoose,4.479186124,0
114,114224,66716.89672,KEN,Kenya,Wajir,3.494354063,0
115,114225,1936.054268,SOM,Somalia,Jubbada Dhexe,4.154727771,0
116,114226,14652.54035,SOM,Somalia,Gedo,4.029781341,0
117,114227,20809.36929,KEN,Kenya,Mandera,3.400739599,0
118,114228,4939.671245,ETH,Ethiopia,Oromia,2.525642255,0
119,114229,7911.110179,ETH,Ethiopia,Oromia,4.050226936,0
120,114230,2151.4438,SOM,Somalia,Jubbada Hoose,4.282000124,0
121,114240,8596.235029,KEN,Kenya,Wajir,3.267148849,0
122,114250,3845.123385,KEN,Kenya,Garissa,4.051859888,0
123,114260,5851.483129,KEN,Kenya,Garissa,2.123443586,0
124,114270,12893.31553,KEN,Kenya,Isiolo,4.004482266,0
125,114281,900.4670096,KEN,Kenya,Isiolo,4.202351399,0
126,114282,5430.074512,KEN,Kenya,Isiolo,3.821053737,0
127,114283,51.72846306,KEN,Kenya,Isiolo,4.540515118,0
128,114284,12465.71089,KEN,Kenya,Marsabit,4.008459889,0
129,114285,1120.127039,KEN,Kenya,Isiolo,4.083468956,0
130,114286,5782.490927,KEN,Kenya,Samburu,3.769862349,0
131,114287,3636.425643,KEN,Kenya,Marsabit,4.05553484,0
132,114288,2246.480416,KEN,Kenya,Samburu,0.433299092,0
