pfaf_id,Totalpop
111011,326082
111012,2390
111013,8152
111014,72
111015,292552
111016,0
111017,50483
111018,313
111019,1847
111020,4483
111030,1295
111041,25617
111042,16609
111043,339
111044,23018
111045,10658
111046,367
111047,7085
111048,12758
111049,25423
111050,102610
111060,72462
111070,1032799
111081,162198
111082,633504
111083,35112
111084,936399
111085,70224
111086,54621
111087,345809
111088,57109
111089,117913
111090,1655
111091,0
111092,19724
111093,410383
111094,135846
111095,40133
111096,170069
111097,206595
111098,171679
111099,72612
112011,7058
112012,105848
112013,169059
112014,317017
112015,21790
112016,77992
112017,156973
112018,122060
112019,1116264
112020,50876
112030,7404
112041,66878
112042,39912
112043,12407
112044,26210
112045,41073
112046,162970
112047,121017
112048,44972
112049,389260
112050,78960
112060,106441
112070,12156
112111,1132711
112112,58253
112113,61008
112114,265305
112115,6052
112116,169614
112117,5404
112118,375099
112119,99030
112120,18323
112130,5702
112140,25508
112150,667
112160,15718
112170,259009
112180,23363
112190,104704
112200,181448
112300,18446
112400,200494
112500,2202
112600,30315
112700,25738
112801,31322
112802,79521
112803,73380
112804,62764
112805,17393
112806,43847
112807,51178
112808,15251
112809,220914
112901,43
112902,17237
112903,1783
112904,11577
112905,375
112906,8882
112907,9430
112908,24773
112909,1851049
113000,69594
114001,244013
114002,3367
114100,102249
114210,65242
114221,4032
114222,12858
114223,187
114224,1630809
114225,1218
114226,813542
114227,1065033
114228,59951
114229,154260
114230,6568
114240,127108
114250,487445
114260,117594
114270,349751
114281,1962
114282,2270
114283,186
114284,72410
114285,750
114286,22876
114287,22729
114288,30756
114289,164018
114290,1231888
114300,87766
114410,48459
114411,368270
114412,130690
114413,233585
114414,105927
114415,7
114416,40907
114417,2486
114418,244533
114419,53377
114420,112086
114430,120436
114441,158358
114442,292759
114443,913642
114444,50518
114445,62459
114446,76776
114447,104822
114448,1123594
114449,1067175
114450,23939
114460,1099030
114470,491267
114480,466421
114490,2389185
114500,348253
114601,26938
114602,360947
114603,220
114604,50645
114605,69820
114606,235564
114607,178869
114608,123752
114609,91824
114701,387093
114702,248375
114703,204815
114704,41839
114705,220090
114706,34403
114707,11030
114708,17423
114709,208
114801,52639
114802,43890
114803,9356
114804,39413
114805,71810
114806,30859
114807,164012
114808,376767
114809,674363
114910,449704
114920,91871
114931,15761
114932,60941
114933,32851
114934,31998
114935,151213
114936,17153
114937,15182
114938,46807
114939,34455
114940,525454
114950,294453
114960,2242905
114970,53348
114980,2361413
114990,3685859
115101,3434223
115102,143916
115103,135434
115201,66998
115202,242255
115203,731622
115204,23327
115205,639082
115206,20046
115207,123052
115208,67754
115209,282256
115300,3381186
