Point No,Station,Basin,Country,Lat,Lon,Upstream area,Forecast Date,max_EPS,GloFAS_2yr,GloFAS_5yr,GloFAS_20yr,Alert_level,Days until peak,pfaf_id
1,Stolb,Lena,Russian Federation,72.250,126.750,2460000.000,2020-05-05T00:00:00,3/0/0,3,0,0,0,30,342111
2,7 5Km D S Of Mouth Of River Pur,Olenek,Russian Federation,72.150,123.350,198000.000,2020-05-05T00:00:00,29/1/0,29,1,0,1,27,331810
3,Khatanga,Khatanga,Russian Federation,71.950,102.150,275000.000,2020-05-05T00:00:00,33/7/0,33,7,0,1,30,331630
4,Saskylakh,Anabar,Russian Federation,71.950,114.050,78800.000,2020-05-05T00:00:00,21/9/1,21,9,1,1,30,331761
5,Kyusyur Kusur,Lena,Russian Federation,70.850,127.550,2430000.000,2020-05-05T00:00:00,3/0/0,3,0,0,0,30,342115
6,Ubileynaya,Yana,Russian Federation,70.750,136.050,224000.000,2020-05-05T00:00:00,1/0/0,1,0,0,0,30,351215
7,Malaya Kuonapka At Dzhalinda,Anabar,Russian Federation,70.150,113.950,20300.000,2020-05-05T00:00:00,15/5/0,15,5,0,0,25,331764
8,Na,Na,United States,69.950,-148.750,-9999.000,2020-05-05T00:00:00,51/23/5,51,23,5,1,19,813904
9,Na,Lena,Russian Federation,69.650,124.950,-9999.000,2020-05-05T00:00:00,1/0/0,1,0,0,0,30,342119
10,Onnelansuvanto,Tana,Finland,69.450,24.950,10864.000,2020-05-05T00:00:00,21/7/1,21,7,1,1,30,252106
11,Utsjoki,Tana,Finland,69.450,25.150,1520.000,2020-05-05T00:00:00,19/5/1,19,5,1,0,30,252106
12,Polmak Nye,Tana,Norway,69.450,25.750,14161.000,2020-05-05T00:00:00,19/5/1,19,5,1,0,30,252106
13,Namu,Omoloy,Russian Federation,69.450,132.250,10800.000,2020-05-05T00:00:00,9/0/0,9,0,0,0,22,351108
14,Norilka At Valek,Pyasina,Russian Federation,69.350,88.450,19800.000,2020-05-05T00:00:00,0/0/0,0,0,0,0,30,331295
15,Andrushkino,Alazeya,Russian Federation,69.250,154.750,29000.000,2020-05-05T00:00:00,7/0/0,7,0,0,0,10,351603
16,Umiat Ak,Colville,United States,69.150,-153.150,35820.000,2020-05-05T00:00:00,72/19/0,72,19,0,1,15,813805
17,Lake Inari Outlet,Na,Finland,69.050,27.150,14575.000,2020-05-05T00:00:00,17/11/5,17,11,5,0,30,252200
18,Kolymskaya,Kolyma,Russian Federation,68.750,158.750,526000.000,2020-05-05T00:00:00,3/0/0,3,0,0,0,30,351851
